지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 강남구 논현동 164-14 원창빌딩 ,서울특별시 강남구 학동로2길 56 원창빌딩 지상5층 (논현동),아오자이,202017.7656,445083.1904
서울특별시 강남구 역삼동 752-41 2층 2호,서울특별시 강남구 역삼로 133 지상2층 2호 (역삼동),오사카우동 강남점,202954.7972,443586.4014
서울특별시 강남구 논현동 242-47번지 ,서울특별시 강남구 선릉로127길 5 (논현동),도리토리본점,203585.5888,445921.9758
서울특별시 강남구 청담동 80-12번지 ,서울특별시 강남구 압구정로 434-3 지상1층 (청담동),코코모이,203862.4801,447126.9422
서울특별시 강남구 역삼동 826-37번지 ,서울특별시 강남구 테헤란로4길 46 제비122호 (역삼동),찌개마을,202619.0981,443688.6917
서울특별시 강남구 논현동 203-1번지 거평타운 지하121호 ,서울특별시 강남구 봉은사로 129 (논현동거평타운 지하121호),이장군 충무김밥,202425.73,444852.88
서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,202392.0046,444276.6357
서울특별시 강남구 역삼동 661-21번지 지상1층 101호,서울특별시 강남구 언주로103길 15 지상1층 101호 (역삼동),미장원,203361.6565,444915.1689
서울특별시 강남구 역삼동 826-37번지 쌍용플래티넘밸류 ,서울특별시 강남구 테헤란로4길 46 지하1층 B123호B124호 (역삼동 쌍용플래티넘밸류),청담돈가스,202619.0981,443688.6917
서울특별시 강남구 신사동 527-4 형지제2빌딩,서울특별시 강남구 압구정로 102 형지제2빌딩 지상1층 (신사동),오우야 에스프레소바,201668.7021,446681.3102
서울특별시 강남구 신사동 652-5,서울특별시 강남구 도산대로49길 6-5 지상1층 (신사동),다이브에스프레소클럽,203260.0825,446801.9064
서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,202066.6944,445103.8044
서울특별시 강남구 청담동 87 ,서울특별시 강남구 선릉로152길 10 지하1층 (청담동),만지,203496.5412,446867.267
서울특별시 강남구 역삼동 651-19 ,서울특별시 강남구 언주로107길 48 지상1층 102호 (역삼동),사시미651,203057.8547,444976.9404
서울특별시 강남구 신사동 555 ,서울특별시 강남구 논현로157길 55 지상1층 102호 (신사동),사케츠바사,202072.553,446507.4422
서울특별시 강남구 역삼동 708-1번지 ,서울특별시 강남구 테헤란로 328 지하1층 101호102호 (역삼동 동우빌딩),토종시골집,204142.44,444617.02
서울특별시 강남구 개포동 1237-16번지 ,서울특별시 강남구 논현로18길 15 지상1층 101호 (개포동),심야오뎅,204018.855,441757.35
서울특별시 강남구 역삼동 619번지 정암빌딩 ,서울특별시 강남구 봉은사로6길 38 지상2층 (역삼동 정암빌딩),이름없는 파스타 강남역점,202367.2785,444482.1152
서울특별시 강남구 도곡동 545-6번지 한성빌딩1층 ,서울특별시 강남구 도곡로 174 (도곡동한성빌딩1층),호미곶,203333.0265,443237.6692
서울특별시 강남구 도곡동 418-10번지 ,서울특별시 강남구 논현로38길 38-3 (도곡동),후포항,203915.466,442581.6219
서울특별시 강남구 수서동 502-1번지 ,서울특별시 강남구 광평로 220 (수서동),한단고기,208515.2783,442505.8904
서울특별시 강남구 역삼동 708-33번지 역삼동 벤처빌딩 ,서울특별시 강남구 테헤란로52길 21 역삼동 벤처빌딩 지하1층 B101호B102호중 일부 (역삼동),이치동,204222.8929,444524.8227
