,지번주소,도로명주소,사업장명,위도,경도
109,서울특별시 강남구 청담동 20-13 ,서울특별시 강남구 선릉로148길 40 지상1층 (청담동),로바타 라이브라 별관점,37.5227234244254,127.03989476082175
110,서울특별시 강남구 청담동 20-7 ,서울특별시 강남구 선릉로146길 29 지하2층 (청담동),훈,37.52191973824893,127.03932663128936
111,서울특별시 강남구 신사동 653-12번지 ,서울특별시 강남구 도산대로49길 10-3 지하1층지상1층 (신사동),로지,37.52380772679799,127.03479098954087
112,서울특별시 강남구 청담동 20-2번지 ,서울특별시 강남구 선릉로146길 27-10 지하1층 (청담동),쇼쿠도카이,37.522414931058464,127.03946126266548
113,서울특별시 강남구 논현동 164-11번지 지상2층  동 ,서울특별시 강남구 강남대로 506 동 (논현동지상2층),히까리 논현점,37.5075075922186,127.02061473107624
114,서울특별시 강남구 신사동 642-28번지 ,서울특별시 강남구 압구정로48길 38 1층 (신사동),나미나미,37.525958975422675,127.03396690377437
115,서울특별시 강남구 청담동 88-8 1층,서울특별시 강남구 도산대로55길 16 (청담동1층),베베르(Be Ber),37.52447155667542,127.03762228098107
116,서울특별시 강남구 청담동 7-27번지 ,서울특별시 강남구 삼성로147길 8 1층 101호 (청담동),스기타마,37.52244765442893,127.04459549528052
117,서울특별시 강남구 청담동 123-44 ,서울특별시 강남구 압구정로79길 35 (청담동),청담이상 본점,37.52545448585997,127.04722591964638
118,서울특별시 강남구 역삼동 830-32번지 ,서울특별시 강남구 역삼로3길 14 지하1층 (역삼동),강남 시소,37.49447213317045,127.02863780465812
119,서울특별시 강남구 삼성동 149-31번지 ,서울특별시 강남구 봉은사로84길 34 지상1 2층 (삼성동),이자카야 한잔 삼성본점,37.5111718415461,127.05328290906213
120,서울특별시 강남구 수서동 724 로즈데일오피스텔 ,서울특별시 강남구 광평로 280 로즈데일오피스텔 지하2층 124호 (수서동),육대장,37.487326809304335,127.10025005039468
121,서울특별시 강남구 신사동 612-2 ,서울특별시 강남구 언주로167길 46 지상1층 1호 (신사동),완강정,37.52661386787817,127.02651805162382
122,서울특별시 강남구 신사동 577-12번지 ,서울특별시 강남구 압구정로28길 18 (신사동),목로,37.52547553770718,127.02468307437562
